Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2025-02-06 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,56.52,OK,41.98,OK
2025-02-06 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,50.82,OK,23.6,OK
2025-02-06 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,77.32,OK,29.84,OK
2025-02-06 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,49.06,OK,26.45,OK
2025-02-06 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,48.32,OK,35.42,OK
2025-02-06 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,30.02,OK,4.67,OK
2025-02-06 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,29.6,OK,-0.81,BDL
2025-02-06 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,18.44,OK,1.86,BDL
2025-02-06 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.57,OK,-3.77,BDL
2025-02-06 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,35.59,OK,21.22,OK
2025-02-06 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,28.57,OK,27.6,OK
2025-02-06 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,40.24,OK,38.98,OK
2025-02-06 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,36.5,OK,38.29,OK
2025-02-06 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,29.66,OK,36.21,OK
2025-02-06 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,28.49,OK,23.24,OK
2025-02-06 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.68,OK,27.44,OK
2025-02-07 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,12.25,OK,17.12,OK
2025-02-07 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,24.19,OK,5.03,OK
2025-02-07 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,20.67,OK,16.03,OK
2025-02-07 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,16.64,OK,10.28,OK
2025-02-07 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,23.03,OK,13.57,OK
2025-02-07 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,8.11,OK,14.02,OK
2025-02-07 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,31.13,OK,19.71,OK
2025-02-07 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,19.83,OK,13.53,OK
2025-02-07 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,35.86,OK,15.99,OK
2025-02-07 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,49.06,OK,12.98,OK
2025-02-07 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,42.25,OK,12.03,OK
2025-02-07 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,48.79,OK,27.16,OK
2025-02-07 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,24.19,OK,8.44,OK
2025-02-07 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,10.7,OK,0.37,BDL
2025-02-07 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,7.51,OK,-11.61,OR
2025-02-07 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,8.54,OK,-7.63,OR
2025-02-07 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,7.45,OK,-6.51,OR
2025-02-07 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.88,OK,9.23,OK
2025-02-07 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,13.85,OK,13.97,OK
2025-02-07 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,36.02,OK,34.13,OK
2025-02-07 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,35.29,OK,41.53,OK
2025-02-07 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,40.49,OK,30.48,OK
2025-02-07 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,36.62,OK,17.25,OK
2025-02-07 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,25.88,OK,22.52,OK
2025-02-08 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,12.61,OK,24.59,OK
2025-02-08 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,14.58,OK,146.14,OK
2025-02-08 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.89,OK,837.91,OR
2025-02-08 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,23.8,OK,-926.18,OR
2025-02-08 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,7.26,OK,9.95,OK
2025-02-08 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,20.54,OK,16.67,OK
2025-02-08 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,25.94,OK,12.68,OK
2025-02-08 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,35.47,OK,27.66,OK
